id;Codigo;Descrição
1;1;CRU                      
2;2;CARAMELO                      
3;3;ROSA CHICLETE                 
4;4;AMARELO BEBE                  
5;5;CORAL                         
6;6;VERDE BANDEIRA                
7;7;MARINHO                       
8;8;PRETO                         
9;9;FERRUGE                       
10;10;VERDE MUSGO                   
11;11;VINHO                         
12;12;PETROLEO                      
13;13;CINZA                         
14;14;AZUL PISCINA                  
15;15;VERDE MALVA                   
16;16;AZUL JEANS                    
17;17;CAQUI                         
18;18;BEGE LINHO                    
19;19;CAFE                          
20;20;NATURAL                       
21;21;PT                            
22;22;BRANCO OTICO                  
23;23;MARRON GRANADA                
24;24;24
25;25;25
26;26;15
27;27;ALVEJADO                      
28;28;LARANJA                       
29;29;MARROM                        
30;30;30
31;31;VERDE LIMAO                   
32;32;AZUL BEBE                     
33;33;SALMON                        
34;34;ROSA BEBE                     
35;35;AMARELO CANARIO               
36;36;LILAS                         
37;37;AREIA                         
38;38;AZUL BIC                      
39;39;BEGE                          
40;40;JADE                          
41;41;ABOBORA                       
42;42;PALHA                         
43;43;VERMELHO                      
44;44;ROYAL                         
45;45;PISTACHE                      
46;46;AMARELO OURO                  
47;47;MOSTARDA                      
48;48;CHUMBO                        
49;49;MARROM GRANADA                
50;50;ROSA                          
51;51;AZUL                          
52;52;VERDE                         
53;53;PINK                          
54;54;TURQUESA                      
55;55;UVA                           
56;56;AMARELO                       
57;57;AZUL MOTORISTA                
58;58;CENOURA                       
59;59;ROXO                          
60;60;TABACO                        
61;61;VERDE MAÇA                    
62;62;GOIABA                        
63;63;HAVANA MARRON                 
64;64;OFF-WHITE                     
65;65;PINK ROSE                     
66;66;ROSA CARMESIN                 
67;67;AZUL CIANO                    
68;68;AZUL OCEANO                   
69;69;AZUL ULTRAMARINO              
70;70;AZUL INDIGO                   
71;71;VERDE FLORESTA                
72;72;VERDE MAR                     
73;73;CINZA ESCURO                  
74;74;CINZA CLARO                   
75;75;VINHO ZUNE                    
76;76;VERDE OLIVA                   
77;77;MARINHO 19.4021               
78;78;VERMELHO 18.1763              
79;79;VERDE 18.6030                 
80;80;VERDE IDANTHREN               
81;81;AZUL IDANTRHEN                
82;82;CAMURÇA                       
83;83;MARFIM                        
84;84;CAFE COM LEITE                
85;85;FENDI                         
86;86;TELHA                         
87;87;MARROM CAFE                   
88;88;VERDE ESMERALDA               
89;89;GRAFITE                       
90;90;BORDO                         
91;91;VERDE TURQUESA                
92;92;VERDE OLIVA                   
93;93;ALVEJADO E                    
94;94;PALHA E                       
95;95;VERDE PISCINA                 
96;96;AZUL E                        
97;97;ROSA E                        
98;98;VERDE E                       
99;99;CANARIO E                     
100;100;KAKI                          
101;101;AREIA E                       
102;102;PALHA ARRET                   
103;103;ROSA FLUORESCENTE             
104;104;VERDE CANA E                  
105;105;ROSE E                        
106;106;PINK MEDIO E                  
107;107;VERDE AGUA E                  
108;108;VERMELHO E                    
109;109;ROSA MEDIO E                  
110;110;AZUL BB E                     
111;111;MOSTRADA E                    
112;112;AMARELO CANARIO E             
113;113;LIMAO E                       
114;114;BEGE E                        
115;115;AREIA E                       
116;116;SALMAO E                      
117;117;LILAS E                       
118;118;VERDE MILITAR                 
119;119;ROSA E                        
120;120;BRONZE ORANGE                 
121;121;ROSA DELICACY E               
122;122;PALHA IVORY E                 
123;123;ROSE PUFF E                   
124;124;GELO WHITE E                  
125;125;ROSA VELHO                    
126;126;KRAFT                         
127;127;AZUL TIFANY                   
128;128;SALMON ESCURO E               
129;129;CAQUI E                       
130;130;CASTOR                        
131;131;PALHA CORTADO                 
132;132;AREIA ARRET                   
133;133;COR CINZA NOVO                
134;134;ROSE                          
135;T0001;PT                            
136;T0002;PALHA                         
137;T0003;ROSA PINK                     
